06489J91J00X  A1991 09 17.23026 23 57 27.04 +04 36 26.3                i18917691
06489J91J00X 3 1991 09 17.38229 23 57 16.19 +04 34 14.0          18.8   19414675
06489J91J00X 1C1995 03 07.73703 13 43 47.59 -13 12 06.1                 24957413
06489J91J00X 1C1995 03 07.74064 13 43 47.77 -13 12 07.3                 24957413
06489J91J00X 1C1995 03 07.79066 13 43 49.79 -13 12 18.5                 24957413
06489J91J00X 1C1995 03 21.58882 13 52 38.57 -13 50 52.9                 24957413
06489J91J00X 1C1995 03 21.59456 13 52 38.68 -13 50 53.2                 24957413
06489J91J00X  C1995 04 12.41485 13 59 13.20 -13 26 41.1                c25122608
06489J91J00X  C1995 04 12.45340 13 59 13.09 -13 26 31.8                c25122608
06489J91J00X 1C1995 04 17.48696 13 59 42.38 -13 00 09.8                 25116413
06489J91J00X 1C1995 04 17.49862 13 59 42.33 -13 00 05.5                 25116413
06489J91J00X  C1995 04 20.66007 13 59 53.25 -12 39 18.8          17.3 Vz25109360
06489J91J00X  C1995 04 20.66476 13 59 53.18 -12 39 16.7                z25109360
06489J91J00X  C1995 04 20.67170 13 59 53.15 -12 39 13.6                z25109360
06489        1C1995 04 21.39030 13 59 55.52 -12 33 53.0                 29747658
06489        1C1995 04 21.39273 13 59 55.50 -12 33 51.8                 29747658
06489        1C1995 04 21.39655 13 59 55.48 -12 33 50.0                 29747658
06489        1C1995 04 21.39865 13 59 55.47 -12 33 49.1                 29747658
06489J91J00X  C1995 04 21.40772 13 59 56.36 -12 33 34.6                c25122608
06489J91J00X  C1995 04 21.43576 13 59 56.13 -12 33 21.8                c25122608
06489J91J00X  C1995 04 21.96058 13 59 57.87 -12 29 25.7                 25118557
06489J91J00X  C1995 04 21.99487 13 59 57.69 -12 29 09.1                 25118557
06489J91J00X  C1995 04 22.00925 13 59 57.63 -12 29 02.1                 25118557
06489J91J00X  C1995 04 22.03289 13 59 57.53 -12 28 50.7                 25118557
06489J91J00X  C1995 04 22.05171 13 59 57.45 -12 28 41.3                 25118557
06489J91J00X  C1995 04 23.00001 14 00 01.01 -12 20 55.7                 25118557
06489J91J00X  C1995 04 23.01329 14 00 00.94 -12 20 49.0                 25118557
06489J91J00X  C1995 04 23.60292 14 00 03.51 -12 15 42.0          17.4 Vz25181897
06489J91J00X  C1995 04 23.61552 14 00 03.39 -12 15 35.2                z25181897
06489J91J00X  C1995 04 23.88573 14 00 05.04 -12 13 16.4          17.3 Rz25118540
06489J91J00X  C1995 04 23.88962 14 00 05.09 -12 13 14.2          17.3 Rz25118540
06489J91J00X  C1995 04 23.89586 14 00 05.03 -12 13 11.3          17.4 Rz25118540
06489J91J00X  C1995 04 23.90416 14 00 05.00 -12 13 06.9          17.1 Rz25118540
06489J91J00X  C1995 04 26.63941 14 00 15.57 -11 47 02.5          16.9 Vz25109360
06489J91J00X  C1995 04 26.64583 14 00 15.51 -11 46 58.8                z25109360
06489J91J00X  C1995 04 26.64931 14 00 15.49 -11 46 56.6                z25110360
06489J91J00X  C1995 04 28.39954 14 00 26.00 -11 28 10.5                c25122608
06489J91J00X  C1995 04 28.44207 14 00 25.61 -11 27 41.9                c25122608
06489J91J00X  C1995 04 28.86211 14 00 29.60 -11 23 09.3          16.6 Rz25266540
06489J91J00X  C1995 04 28.86711 14 00 29.57 -11 23 06.2          16.6 Rz25266540
06489J91J00X  C1995 04 28.87252 14 00 29.54 -11 23 03.2          16.7 Rz25266540
06489J91J00X  C1995 05 02.18441 14 00 59.52 -10 42 04.4                z25175801
06489J91J00X  C1995 05 02.19803 14 00 59.52 -10 41 53.4                z25175801
06489J91J00X 6A1995 05 02.34653 14 01 01.24 -10 39 46.8          16.5   25124675
06489J91J00X 6A1995 05 02.37517 14 01 00.82 -10 39 24.4                 25124675
06489J91J00X  C1995 05 02.83961 14 01 09.08 -10 33 11.4          17.1 Rz25266540
06489J91J00X  C1995 05 02.84399 14 01 09.09 -10 33 07.6          17.1 Rz25266540
06489J91J00X  C1995 05 02.84898 14 01 09.11 -10 33 03.6          17.1 Rz25266540
06489J91J00X  C1995 05 04.17838 14 01 27.99 -10 14 03.5                z25175801
06489J91J00X  C1995 05 05.57644 14 01 54.35 -09 52 40.3          16.8 Vm25111367
06489J91J00X  C1995 05 05.57904 14 01 54.38 -09 52 38.9                m25111367
06489J91J00X  C1995 05 05.58284 14 01 54.40 -09 52 35.6                m25111367
06489J91J00X  C1995 05 07.91700 14 02 51.56 -09 13 35.1                z25268587
06489J91J00X  C1995 05 07.92047 14 02 51.59 -09 13 31.4                z25268587
06489J91J00X  C1995 05 08.26476 14 03 01.28 -09 07 13.4                i25288711
06489J91J00X  C1995 05 08.28047 14 03 01.46 -09 06 56.3                i25288711
06489J91J00X  C1995 05 09.24811 14 03 33.19 -08 48 59.8                i25288711
06489J91J00X  C1995 05 09.25469 14 03 33.30 -08 48 52.2                i25288711
06489J91J00X  C1995 05 09.88611 14 03 56.76 -08 36 47.4                z25256104
06489J91J00X  C1995 05 09.89028 14 03 56.78 -08 36 42.4                z25256104
06489J91J00X  C1995 05 09.89583 14 03 56.92 -08 36 35.7                z25256104
06489J91J00X  C1995 05 09.91448 14 03 56.97 -08 36 16.0          15.7 R 25259118
06489        1C1995 05 10.26432614 04 10.544-08 29 11.70                29462689
06489J91J00X  C1995 05 15.85404 14 09 27.04 -06 17 02.7          15.7 Rz25266540
06489J91J00X  C1995 05 15.86073 14 09 27.35 -06 16 51.2          15.7 Rz25266540
06489J91J00X  C1995 05 17.53976 14 11 50.77 -05 26 53.9                z25262360
06489J91J00X  C1995 05 17.55556 14 11 51.84 -05 26 24.8                z25262360
06489J91J00X  C1995 05 17.56042 14 11 52.21 -05 26 14.9                z25262360
06489J91J00X 1C1995 05 18.24859 14 12 59.41 -05 04 05.9          15.8 Vz25390689
06489J91J00X  C1995 05 18.53164 14 13 29.22 -04 54 39.4          16.0 Vz25313897
06489J91J00X  C1995 05 18.53684 14 13 29.63 -04 54 29.2                z25313897
06489J91J00X  C1995 05 18.59212 14 13 34.52 -04 52 36.2          15.8 Vm25262367
06489J91J00X  C1995 05 18.59455 14 13 34.70 -04 52 31.2                m25262367
06489J91J00X  C1995 05 18.59684 14 13 34.89 -04 52 26.7                m25262367
06489J91J00X  C1995 05 18.59929 14 13 35.10 -04 52 21.7                m25262367
